level,notation,prefLabel@de,scopeNote@de
"3","EL 310","Literatur und Ideologie. Literatur und Religion. Literatur und Ideengeschichte",""
"2","EL 320-","Literatur und soziale Bewegungen",""
"3","EL 320","Allgemeines. New Historicism",""
"3","EL 321","Frauen",""
"3","EL 322","Klassenkampf. Arbeiterbewegung",""
"3","EL 323","Industrialisierung. Verstädterung",""
"3","EL 325","Bürgertum",""
"3","EL 326","Kolonialismus (innerer und äußerer). Regionalismus",""
"3","EL 327","Ethnizität",""
"3","EL 328","Ecocriticism",""
"3","EL 329","Sonstige",""
"3","EL 330","Literatur und Künste",""
"3","EL 335","Literatur und Medien",""
"3","EL 339","Sonstiges",""
"3","EL 340","Literatur und andere Wissenschaften",""
"3","EL 345","Feministische Literaturwissenschaft",""
"3","EL 346","Literatur und Gender",""
"2","EL 350-","Literaturgeschichte",""
"3","EL 350","Allgemeines",""
"2","EL 370-","Geschichte der regionalen Literaturen",""
"3","EL 370","Allgemeines",""
"3","EL 371","Einzelfragen",""
"3","EL 375","Postkoloniale Literatur",""
"3","EL 400","Beziehungen zu anderen Literaturen",""
"2","EL 450-","Themen, Stoff- und Motivforschung",""
"3","EL 450","Allgemeines. Epochenübergreifendes",""
"3","EL 460","Antike Themen, Stoffe und Motive",""
"3","EL 470","Mittelalterliche Themen, Stoffe und Motive",""
"3","EL 480","Neuzeitliche Themen, Stoffe und Motive",""
"3","EL 490","Themen Stoffe und Motive der Moderne",""
"2","EL 500-","Gattungsgeschichte",""
"3","EL 500","Allgemeines. Gattungsübergreifendes",""
"2","EL 550-","Lyrik",""
"3","EL 550","Allgemeines",""
"3","EL 555","Einzelne Formen",""
"2","EL 600-","Dramatik",""
"3","EL 600","Allgemeines",""
"3","EL 610","Tragödie",""
"3","EL 620","Komödie",""
"3","EL 640","Sonstige Formen",""
"2","EL 700-","Epik",""
"3","EL 700","Allgemeines",""
"3","EL 710","Versepik",""
"3","EL 780","Erzählende Prosa. Roman. Short Story",""
"3","EL 790","Sonstige Formen",""
"2","EL 900-","Sonstige Gattungen und Formen",""
"3","EL 900","Allgemeines",""
"3","EL 905","Biographie. Autobiographie. Memoiren. Tagebuch. Tagebuch",""
"3","EL 910","Briefe. Briefwechsel. Briefsammlungen",""
"3","EL 915","Geschichtsschreibung",""
"3","EL 920","Essayistik",""
"3","EL 923","Reiseliteratur",""
"3","EL 924","Kinderliteratur",""
"3","EL 925","Spionageliteratur. Kriminalliteratur",""
"3","EL 940","Sonstiges",""
"3","EL 945","Literaturdidaktik",""
"2","EL 950-","Anthologien. Textsammlungen (epochenübergreifend)",""
"3","EL 950","Allgemeine Sammlungen",""
"3","EL 970","Thematische Sammlungen",""
"2","EL 980-","Sammlungen nach Gattungen und Formen",""
"3","EL 980","Lyrik",""
"3","EL 985","Dramatik",""
"3","EL 990","Epik",""
"3","EL 995","Sonstige",""
"1","EM","Alt- und Mittelenglische Literatur",""
"2","EM 10","Handbücher",""
"2","EM 20","Spezielle Bibliographien",""
"2","EM 25","Forschungsdokumentationen",""
"2","EM 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","EM 35","Zeitschriften",""
"2","EM 40","Gesamtdarstellungen",""
"2","EM 50","Einführende Texte. Lehrbücher.",""
"2","EM 80","Textkritik. Interpretationssammlungen",""
"2","EM 100-","Literaturgeschichte",""
"3","EM 100","Allgemeines",""
"3","EM 130","Geschichte der regionalen Literaturen",""
"3","EM 150","Beziehungen zu anderen Literaturen",""
"3","EM 200","Einzelne Richtungen, Stile, Schulen",""
"3","EM 250","Einzelne Themen, Stoffe und Motive",""
"2","EM 300-","Einzelne Gattungen",""
"3","EM 300","Allgemeines. Gattungsübergreifendes",""
"3","EM 400","Lyrik",""
"3","EM 500","Dramatik",""
"3","EM 600","Epik",""
"3","EM 800","Sonstige Gattungen und Formen",""
"2","EM 900","Einzelne Autoren. Primär- und Sekundärliteratur",""
"2","EM 950-","Anthologien. Textsammlungen",""
"3","EM 950","Allgemeine Sammlungen",""
"3","EM 970","Thematische Sammlungen",""
"2","EM 980-","Sammlungen nach Gattungen und Formen",""
"3","EM 980","Lyrik",""
"3","EM 985","Dramatik",""
"3","EM 990","Epik",""
"3","EM 995","Sonstige",""
"1","EN","Englische Literatur des 16. Jahrhunderts",""
"2","EN 10","Handbücher",""
"2","EN 20","Spezielle Bibliographien",""
"2","EN 25","Forschungsdokumentationen",""
"2","EN 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","EN 35","Zeitschriften",""
"2","EN 40","Gesamtdarstellungen",""
"2","EN 50","Einführende Texte. Lehrbücher.",""
"2","EN 80","Textkritik. Interpretationssammlungen",""
"2","EN 100-","Literaturgeschichte",""
"3","EN 100","Allgemeines",""
"3","EN 130","Geschichte der regionalen Literaturen",""
"3","EN 150","Beziehungen zu anderen Literaturen",""
"3","EN 200","Einzelne Richtungen, Stile, Schulen",""
"3","EN 250","Einzelne Themen, Stoffe und Motive",""
"2","EN 300-","Einzelne Gattungen",""
"3","EN 300","Allgemeines. Gattungsübergreifendes",""
"2","EN 400-","Lyrik",""
"3","EN 400","Allgemeines",""
"3","EN 410","Einzelne Formen",""
"2","EN 500-","Dramatik",""
"3","EN 500","Allgemeines",""
"3","EN 510","Tragödie",""
"3","EN 520","Kömödie",""
"3","EN 590","Sonstige Formen",""
"2","EN 600-","Epik. Roman",""
"3","EN 600","Allgemeines",""
"3","EN 610","Epos",""
"3","EN 620","Roman",""
"3","EN 630","Kurzprosa",""
"3","EN 800","Sonstige Gattungen und Formen",""
"2","EN 870","Frauen in der englischen Literatur bis einschließlich des 16. Jahrhunderts",""
"2","EN 900","Einzelne Autoren. Primär- und Sekundärliteratur",""
"2","EN 905-929","Shakespeare, William",""
"3","EN 905-906","Primärliteratur",""
"4","EN 905","Gesamtausgaben. Gesammelte Werke",""
"4","EN 906","Teilsammlungen, Auszüge",""
"3","EN 907-","Einzelwerke",""
"4","EN 907","Dramen",""
"4","EN 908","Lyrik",""
"4","EN 909","Versepik",""
"4","EN 910","Shakespeare-Apokryphen",""
"3","EN 911-","Übersetzungen",""
"4","EN 911","Gesamtausgaben. Gesammelte Werke",""
"4","EN 912","Teilsammlungen, Auszüge",""
"4","EN 913","Einzelwerke",""
"3","EN 914-","Sekundärliteratur",""
"4","EN 914","Allgemeines",""
"3","EN 915-","Leben und Persönlichkeit",""
"4","EN 915","Allgemeines",""
"4","EN 916","Lebensabschnitte",""
"4","EN 917","Shakespeare-Bacon-Kontroverse und sonstige Theorien",""
"3","EN 918-","Geistige Welt",""
"4","EN 918","Weltanschauung, Religionen",""
"4","EN 919","Geistige und künstlerische Einflüsse",""
"4","EN 920","Verhältnis zu anderen Kultur- und Lebensgebieten",""
"4","EN 921","Beziehungen zu einzelnen Persönlichkeiten",""
"3","EN 922-","Wirkung. Nachwirkung",""
"4","EN 922","Allgemeines",""
"4","EN 923","Wirkung, Nachwirkung in England",""
"4","EN 924","Wirkung, Nachwirkung in Deutschland",""
"4","EN 925","Wirkung, Nachwirkung in anderen Ländern (alphabetisch)",""
"3","EN 926-","Das Werk",""
"4","EN 926","Sprache. Stil. Struktur und Form. Glossare",""
"4","EN 927","Interpretationen von Einzelwerken",""
"4","EN 928","Bibliographien",""
"4","EN 929","Quellen, Stoffe, Motive. Konkordanz",""
"3","EN 930-","Textkritik. Gattungen und einzelne Werke. Dramatik",""
"4","EN 930","Allgemeines",""
"4","EN 931","Komödien",""
"4","EN 932","Tragödien",""
"4","EN 933","Historien und Römerdramen",""
"4","EN 934","Märchenspiele. Romanzen",""
"4","EN 935","Apokryphen",""
"4","EN 936","Lyrik",""
"4","EN 937","Versepik",""
"4","EN 938","Shakespeare-Kritik. Shakespeare-Veranstaltungen. Shakespeare-Periodika",""
"3","EN 950-","Anthologien. Textsammlungen",""
"4","EN 950","Allgemeine Sammlungen",""
"4","EN 970","Thematische Sammlungen",""
"3","EN 980-","Sammlungen nach Gattungen und Formen",""
"4","EN 980","Lyrik",""
"4","EN 985","Dramatik",""
"4","EN 990","Epik",""
"4","EN 995","Sonstige",""
"1","EO","Englische Literatur des 17. Jahrhunderts",""
"2","EO 10","Handbücher",""
"2","EO 20","Spezielle Bibliographien",""
"2","EO 25","Forschungsdokumentationen",""
"2","EO 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","EO 35","Zeitschriften",""
"2","EO 40","Gesamtdarstellungen",""
"2","EO 50","Einführende Texte. Lehrbücher.",""
"2","EO 80","Textkritik. Interpretationssammlungen",""
"2","EO 100-","Literaturgeschichte",""
"3","EO 100","Allgemeines",""
"3","EO 130","Geschichte der regionalen Literaturen",""
"3","EO 150","Beziehungen zu anderen Literaturen",""
"2","EO 200-","Einzelne Richtungen, Stile, Schulen",""
"3","EO 200","Allgemeines",""
"3","EO 205","Puritanismus",""
"3","EO 210","Rationalistische und empiristische Einflüsse",""
"3","EO 215","Metaphysicals",""
"3","EO 220","Vorläufer des Klassizismus",""
"3","EO 225","Prediger und Predigtliteratur",""
"3","EO 230","Höfischer Dichterkreis um Charles II.",""
"3","EO 240","Sonstige",""
"3","EO 250","Einzelne Themen, Stoffe und Motive",""
"2","EO 300-","Einzelne Gattungen",""
"3","EO 300","Allgemeines. Gattungsübergreifendes",""
"2","EO 400-","Lyrik",""
"3","EO 400","Allgemeines",""
"3","EO 410","Einzelne Formen",""
"2","EO 500-","Dramatik",""
"3","EO 500","Allgemeines",""
"3","EO 510","Tragödie",""
"3","EO 520","Komödie",""
"3","EO 590","Sonstige Formen",""
"3","EO 600","Epik. Roman",""
"3","EO 800","Sonstige Gattungen und Formen",""
"2","EO 870","Frauen in der englischen Literatur des 17. Jahrhunderts",""
"2","EO 900","Einzelne Autoren. Primär- und Sekundärliteratur",""
"2","EO 950-","Anthologien. Textsammlungen",""
"3","EO 950","Allgemeine Sammlungen",""
"3","EO 970","Thematische Sammlungen",""
"2","EO 980-","Sammlungen nach Gattungen und Formen",""
"3","EO 980","Lyrik",""
"3","EO 985","Dramatik",""
"3","EO 990","Epik",""
"3","EO 995","Sonstige",""
"1","EP","Englische Literatur des 18. Jahrhunderts",""
"2","EP 10","Handbücher",""
"2","EP 20","Spezielle Bibliographien",""
"2","EP 25","Forschungsdokumentationen",""
"2","EP 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","EP 35","Zeitschriften",""
"2","EP 40","Gesamtdarstellungen",""
"2","EP 50","Einführende Texte. Lehrbücher.",""
"2","EP 80","Textkritik. Interpretationssammlungen",""
"2","EP 100-","Literaturgeschichte",""
"3","EP 100","Allgemeines",""
"3","EP 130","Geschichte der regionalen Literaturen",""
"3","EP 150","Beziehungen zu anderen Literaturen",""
"2","EP 200-","Einzelne Richtungen, Stile, Schulen",""
"3","EP 200","Allgemeines",""
"3","EP 205","Aufklärung",""
"3","EP 210","Klassizismus",""
"3","EP 215","Empfindsamkeit",""
"3","EP 220","Vorromantik",""
"3","EP 225","Vorformen des Realismus",""
"3","EP 230","Sonstige",""
"3","EP 250","Einzelne Themen, Stoffe und Motive",""
"2","EP 300-","Einzelne Gattungen",""
"3","EP 300","Allgemeines. Gattungsübergreifendes",""
"2","EP 400-","Lyrik",""
"3","EP 400","Allgemeines",""
"3","EP 410","Einzelne Formen",""
"2","EP 500-","Dramatik",""
"3","EP 500","Allgemeines",""
"3","EP 512","Klassizistische Tragödie",""
"3","EP 514","Bürgerliches Trauerspiel",""
"3","EP 520","Komödie",""
"3","EP 590","Sonstige Formen",""
"2","EP 600","Epik. Roman",""
"3","EP 620","Roman",""
"3","EP 630","Kurzprosa",""
"3","EP 690","Sonstige Formen",""
"2","EP 800","Sonstige Gattungen und Formen",""
"3","EP 810","Autobiographie. Memoiren. Tagebuch",""
"3","EP 820","Briefe",""
"3","EP 830","Essayistik",""
"3","EP 840","Geschichtsschreibung",""
"3","EP 860","Sonstige Formen",""
"3","EP 870","Frauen in der englischen Literatur des 18. Jahrhunderts",""
"2","EP 900","Einzelne Autoren. Primär- und Sekundärliteratur",""
"2","EP 950-","Anthologien. Textsammlungen",""
"3","EP 950","Allgemeine Sammlungen",""
"3","EP 970","Thematische Sammlungen",""
"2","EP 980-","Sammlungen nach Gattungen und Formen",""
"3","EP 980","Lyrik",""
"3","EP 985","Dramatik",""
"3","EP 990","Epik",""
"3","EP 995","Sonstige",""
"1","EQ","Englische Literatur des 19. Jahrhunderts",""
"2","EQ 10","Handbücher",""
"2","EQ 20","Spezielle Bibliographien",""
"2","EQ 25","Forschungsdokumentationen",""
"2","EQ 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","EQ 35","Zeitschriften",""
"2","EQ 40","Gesamtdarstellungen",""
"2","EQ 50","Einführende Texte. Lehrbücher.",""
"2","EQ 80","Textkritik. Interpretationssammlungen",""
"2","EQ 100-","Literaturgeschichte",""
"3","EQ 100","Allgemeines",""
"3","EQ 130","Geschichte der regionalen Literaturen",""
"3","EQ 140","Geschichte der neuirischen Literatur",""
"3","EQ 150","Beziehungen zu anderen Literaturen",""
"2","EQ 200-","Einzelne Richtungen, Stile, Schulen",""
"3","EQ 200","Allgemeines",""
"3","EQ 205","Romantik. Ästhetizismus",""
"3","EQ 210","Früher Viktorianismus",""
"3","EQ 215","Später Viktorianismus",""
"3","EQ 220","Schreibende Frauen und Frauen in der Literatur",""
"3","EQ 245","Sonstige",""
"3","EQ 250","Einzelne Themen, Stoffe und Motive",""
"2","EQ 300-","Einzelne Gattungen",""
"3","EQ 300","Allgemeines. Gattungsübergreifendes",""
"2","EQ 400-","Lyrik",""
"3","EQ 400","Allgemeines",""
"3","EQ 410","Einzelne Formen",""
"2","EQ 500-","Dramatik",""
"3","EQ 500","Allgemeines",""
"3","EQ 510","Tragödie",""
"3","EQ 520","Komödie",""
"3","EQ 590","Sonstige Formen",""
"3","EQ 600","Epik. Roman",""
"3","EQ 620","Roman",""
"3","EQ 630","Kurzprosa",""
"3","EQ 800","Sonstige Gattungen und Formen",""
"3","EQ 810","Autobiographie. Memoiren. Tagebuch",""
"3","EQ 820","Briefe",""
"3","EQ 830","Essayistik",""
"3","EQ 840","Geschichtsschreibung",""
"3","EQ 890","Sonstige Formen",""
"2","EQ 900","Einzelne Autoren. Primär- und Sekundärliteratur",""
"3","EQ 950-","Anthologien. Textsammlungen",""
"4","EQ 950","Allgemeine Sammlungen",""
"4","EQ 970","Thematische Sammlungen",""
"2","EQ 980-","Sammlungen nach Gattungen und Formen",""
"3","EQ 980","Lyrik",""
"3","EQ 985","Dramatik",""
"3","EQ 990","Epik",""
"3","EQ 995","Sonstige",""
"1","ER","Englische Literatur des 20. Jahrhunderts",""
"2","ER 10","Handbücher",""
"2","ER 20","Spezielle Bibliographien",""
"2","ER 25","Forschungsdokumentationen",""
"2","ER 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","ER 35","Zeitschriften",""
"2","ER 40","Gesamtdarstellungen",""
"2","ER 50","Einführende Texte. Lehrbücher.",""
"2","ER 80","Textkritik. Interpretationssammlungen",""
"2","ER 100-","Literaturgeschichte",""
"3","ER 100","Allgemeines",""
"3","ER 130","Geschichte der regionalen Literaturen",""
"3","ER 140","Geschichte der irischen Literatur",""
"3","ER 150","Beziehungen zu anderen Literaturen",""
"3","ER 200","Einzelne Richtungen, Stile, Schulen",""
"3","ER 202","Imagismus. Symbolismus",""
"3","ER 204","Neoromantiker",""
"3","ER 206","Expressionismus",""
"3","ER 208","Surrealismus",""
"3","ER 210","Modernismus",""
"3","ER 212","Sozialer Realismus",""
"3","ER 214","Politische Literatur",""
"3","ER 216","Angry Young Men",""
"3","ER 218","Exzentriker. Absurde",""
"3","ER 220","Schreibende Frauen und Frauen in der Literatur",""
"3","ER 248","Sonstige",""
"3","ER 250","Einzelne Themen, Stoffe und Motive",""
"2","ER 300-","Einzelne Gattungen",""
"3","ER 300","Allgemeines. Gattungsübergreifendes",""
"2","ER 400-","Lyrik",""
"3","ER 400","Allgemeines. Einzelne Formen",""
"2","ER 500-","Dramatik",""
"3","ER 500","Allgemeines",""
"2","ER 510-","Tragödie",""
"3","ER 510","Allgemeines",""
"3","ER 512","Realistisches Drama",""
"3","ER 514","Religiöses Drama",""
"3","ER 516","Zeitkritisches Drama",""
"2","ER 520-","Komödie",""
"3","ER 520","Allgemeines",""
"3","ER 522","Realistische Problemkomödie",""
"3","ER 530","Episches Theater",""
"3","ER 540","Absurdes Theater",""
"3","ER 590","Sonstiges",""
"3","ER 600","Epik. Roman",""
"3","ER 620","Roman",""
"3","ER 630","Kurzprosa",""
"3","ER 690","Sonstige Formen",""
"2","ER 800","Sonstige Gattungen und Formen",""
"3","ER 810","Autobiographie. Memoiren. Tagebuch",""
"3","ER 820","Briefe",""
"3","ER 830","Essayistik",""
"3","ER 840","Geschichtsschreibung",""
"3","ER 890","Sonstige Formen",""
"2","ER 900","Einzelne Autoren. Primär- und Sekundärliteratur",""
"2","ER 950-","Anthologien. Textsammlungen",""
"3","ER 950","Allgemeine Sammlungen",""
"3","ER 970","Thematische Sammlungen",""
"2","ER 980-","Sammlungen nach Gattungen und Formen",""
"3","ER 980","Lyrik",""
"3","ER 985","Dramatik",""
"3","ER 990","Epik",""
"3","ER 995","Sonstige",""
"1","ET","Nordamerikanische Literatur",""
"2","ET 10-","Nordamerikanische Literatur allgemein",""
"3","ET 10","Handbücher",""
"3","ET 20","Spezielle Bibliographien",""
"3","ET 25","Forschungsdokumentationen",""
"3","ET 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"3","ET 35","Zeitschriften",""
"3","ET 40","Gesamtdarstellungen.",""
"3","ET 50","Einführende Texte. Lehrbücher.",""
"3","ET 80","Textkritik. Interpretationssammlungen",""
"3","ET 85-","Literatur und einzelne soziale, politische und kulturelle Phänomene",""
"4","ET 85","Allgemeines",""
"4","ET 86","Literatur und Ideologie. Literatur und Religion. Literatur und Ideengeschichte.",""
"3","ET 87-","Literatur und soziale Bewegungen",""
"4","ET 87","Allgemeines",""
"4","ET 88","Sonstiges",""
"4","ET 92","Literatur und Künste",""
"4","ET 93","Literatur und Medien",""
"4","ET 94","Sonstiges",""
"4","ET 95","Längsschnitt-Untersuchungen zu Einzelaspekten der nordamerikanischen Literatur",""
"4","ET 96","Schreibende Frauen und Frauen in der Literatur Nordamerikas",""
"2","ET 100","Nordamerikanische Literatur bis einschließlich des 18. Jahrhunderts",""
"3","ET 101","Handbücher",""
"3","ET 102","Spezielle Bibliographien",""
"3","ET 103","Forschungsdokumentationen",""
"3","ET 104","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"3","ET 105","Zeitschriften",""
"3","ET 106","Gesamtdarstellungen",""
"3","ET 107","Einführende Texte. Lehrbücher.",""
"2","ET 110-","Literaturgeschichte",""
"3","ET 110","Allgemeines",""
"3","ET 120","Indianerliteratur",""
"3","ET 130","Geschichte der regionalen Literaturen",""
"3","ET 150","Beziehungen zu anderen Literaturen",""
"2","ET 200-","Einzelne Richtungen, Stile, Schulen",""
"3","ET 200","Allgemeines",""
"3","ET 205","Puritanismus",""
"3","ET 210","Unabhängigkeitskrieg (USA)",""
"3","ET 215","Aufklärung",""
"3","ET 220","Klassizismus",""
"3","ET 225","Romantik",""
"3","ET 230","Philosophische Einflüsse",""
"3","ET 235","Religiöse Einflüsse",""
"3","ET 240","Schreibende ethnische Minoritäten und ethnische Minoritäten in der Literatur",""
"3","ET 245","Schreibende Frauen und Frauen in der Literatur",""
"3","ET 249","Sonstiges",""
"3","ET 250","Einzelne Themen, Stoffe und Motive",""
"2","ET 300-","Einzelne Gattungen",""
"3","ET 300","Allgemeines. Gattungsübergreifendes",""
"2","ET 400-","Lyrik",""
"3","ET 400","Allgemeines",""
"3","ET 410","Einzelne Formen",""
"2","ET 500-","Dramatik",""
"3","ET 500","Allgemeines",""
"3","ET 510","Tragödie",""
"3","ET 520","Komödie",""
"3","ET 590","Sonstige Formen",""
"3","ET 600","Epik. Roman",""
"3","ET 620","Roman",""
"3","ET 630","Kurzprosa",""
"3","ET 690","Sonstige Formen",""
"3","ET 800","Sonstige Gattungen und Formen",""
"3","ET 810","Autobiographie. Memoiren. Tagebuch",""
"3","ET 820","Briefe",""
"3","ET 830","Essayistik",""
"3","ET 840","Geschichtsschreibung",""
"3","ET 890","Sonstige Formen",""
"2","ET 900","Einzelne Autoren. Primär- und Sekundärliteratur",""
"2","ET 950-","Anthologien. Textsammlungen",""
"3","ET 950","Allgemeine Sammlungen",""
"3","ET 970","Thematische Sammlungen",""
"2","ET 980-","Sammlungen nach Gattungen und Formen",""
"3","ET 980","Lyrik",""
"3","ET 985","Dramatik",""
"3","ET 990","Epik",""
"3","ET 995","Sonstige",""
"1","EU","Nordamerikanische Literatur des 19. Jahrhunderts",""
"2","EU 10","Handbücher",""
"2","EU 20","Spezielle Bibliographien",""
"2","EU 25","Forschungsdokumentationen",""
"2","EU 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","EU 35","Zeitschriften",""
"2","EU 40","Gesamtdarstellungen",""
"2","EU 50","Einführende Texte. Lehrbücher.",""
"2","EU 80","Textkritik. Interpretationssammlungen",""
"2","EU 100-","Literaturgeschichte",""
"3","EU 100","Allgemeines",""
"3","EU 130","Geschichte der regionalen Literaturen",""
"3","EU 150","Beziehungen zu anderen Literaturen",""
"2","EU 200-","Einzelne Richtungen, Stile, Schulen",""
"3","EU 200","Allgemeines",""
"3","EU 205","Romantik. Ästhetizismus",""
"3","EU 210","Amerikanische Renaissance",""
"3","EU 215","Realismus",""
"3","EU 230","Ethnische Minderheiten in der Literatur",""
"3","EU 240","Frauen in der Literatur",""
"3","EU 245","Sonstige",""
"3","EU 250","Einzelne Themen, Stoffe und Motive",""
"2","EU 300-","Einzelne Gattungen",""
"3","EU 300","Allgemeines. Gattungsübergreifendes",""
"2","EU 400-","Lyrik",""
"3","EU 400","Allgemeines",""
"3","EU 410","Einzelne Formen",""
"2","EU 500-","Dramatik",""
"3","EU 500","Allgemeines",""
"3","EU 510","Tragödie",""
"3","EU 520","Komödie",""
"3","EU 590","Sonstige Formen",""
"3","EU 600","Epik. Roman",""
"3","EU 620","Roman",""
"3","EU 630","Kurzprosa",""
"3","EU 690","Sonstige Formen",""
"3","EU 800","Sonstige Gattungen und Formen",""
"3","EU 810","Autobiographie. Memoiren. Tagebuch",""
"3","EU 820","Briefe",""
"3","EU 830","Essayistik",""
"3","EU 840","Geschichtsschreibung",""
"3","EU 890","Sonstige Formen",""
"2","EU 900","Einzelne Autoren. Primär- und Sekundärliteratur",""
"2","EU 950-","Anthologien. Textsammlungen",""
"3","EU 950","Allgemeine Sammlungen",""
"3","EU 970","Thematische Sammlungen",""
"2","EU 980-","Sammlungen nach Gattungen und Formen",""
"3","EU 980","Lyrik",""
"3","EU 985","Dramatik",""
"3","EU 990","Epik",""
"3","EU 995","Sonstige",""
"1","EV","Nordamerikanische Literatur des 20. Jahrhunderts",""
"2","EV 10","Handbücher",""
"2","EV 20","Spezielle Bibliographien",""
"2","EV 25","Forschungsdokumentationen",""
"2","EV 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","EV 35","Zeitschriften",""
"2","EV 40","Gesamtdarstellungen",""
"2","EV 50","Einführende Texte. Lehrbücher.",""
"2","EV 80","Textkritik. Interpretationssammlungen",""
"2","EV 100-","Literaturgeschichte",""
"3","EV 100","Allgemeines",""
"3","EV 130","Geschichte der regionalen Literaturen",""
"3","EV 150","Beziehungen zu anderen Literaturen",""
"2","EV 200-","Einzelne Richtungen, Stile, Schulen",""
"3","EV 200","Allgemeines",""
"3","EV 202","Imagismus. Symbolismus",""
"3","EV 204","Neoromantiker",""
"3","EV 206","Expressionismus",""
"3","EV 208","Surrealismus",""
"3","EV 210","Modernismus",""
"3","EV 212","Sozialer Realismus",""
"3","EV 213","Neorealismus",""
"3","EV 214","Politische Literatur",""
"3","EV 218","Exzentriker. Absurde",""
"3","EV 220","Experimentelles Schreiben",""
"3","EV 230","Ethnische Minderheiten in der Literatur",""
"3","EV 240","Frauen in der Literatur",""
"3","EV 248","Sonstige",""
"3","EV 250","Einzelne Themen, Stoffe und Motive",""
"2","EV 300-","Einzelne Gattungen",""
"3","EV 300","Allgemeines. Gattungsübergreifendes",""
"2","EV 400-","Lyrik",""
"3","EV 400","Allgemeines. Einzelne Formen",""
"2","EV 500-","Dramatik",""
"3","EV 500","Allgemeines",""
"2","EV 510-","Tragödie",""
"3","EV 510","Allgemeines",""
"3","EV 512","Realistisches Drama",""
"3","EV 514","Religiöses Drama",""
"3","EV 516","Zeitkritisches Drama",""
"2","EV 520-","Komödie",""
"3","EV 520","Allgemeines",""
"3","EV 522","Realistische Problemkomödie",""
"3","EV 530","Episches Theater",""
"3","EV 540","Absurdes Theater",""
"3","EV 590","Sonstiges",""
"3","EV 600","Epik. Roman",""
"3","EV 620","Roman",""
"3","EV 630","Kurzprosa",""
"3","EV 690","Sonstige Formen",""
"3","EV 800","Sonstige Gattungen und Formen",""
"3","EV 810","Autobiographie. Memoiren. Tagebuch",""
"3","EV 820","Briefe",""
"3","EV 830","Essayistik",""
"3","EV 840","Geschichtsschreibung",""
"3","EV 890","Sonstige Formen",""
"2","EV 900","Einzelne Autoren. Primär- und Sekundärliteratur",""
"2","EV 950-","Anthologien. Textsammlungen",""
"3","EV 950","Allgemeine Sammlungen",""
"3","EV 970","Thematische Sammlungen",""
"2","EV 980-","Sammlungen nach Gattungen und Formen",""
"3","EV 980","Lyrik",""
"3","EV 985","Dramatik",""
"3","EV 990","Epik",""
"3","EV 995","Sonstige",""
"1","EW","Englischsprachige Literatur Kanadas",""
"2","EW 10","Handbücher",""
"2","EW 20","Spezielle Bibliographien",""
"2","EW 25","Forschungsdokumentationen",""
"2","EW 30","Jahrbücher, laufende Veröffentlichungen von Institutionen des Fachs",""
"2","EW 35","Zeitschriften",""
"2","EW 40","Gesamtdarstellungen",""
"2","EW 50","Einführende Texte. Lehrbücher.",""
"2","EW 80","Textkritik. Interpretationssammlungen",""
"2","EW 100-","Literaturgeschichte",""
"3","EW 100","Allgemeines",""
"3","EW 130","Geschichte der regionalen Literaturen",""
"3","EW 150","Beziehungen zu anderen Literaturen",""
"2","EW 200-","Einzelne Richtungen, Stile, Schulen",""
"3","EW 200","Allgemeines",""
"3","EW 210","vor 1900",""
"3","EW 220","20. Jahrhundert",""
"3","EW 230","Ethnische Minderheiten in der Literatur",""
"3","EW 240","Frauen in der Literatur",""
"3","EW 248","Sonstige",""
"3","EW 250","Einzelne Themen, Stoffe und Motive",""
"2","EW 300-","Einzelne Gattungen",""
"3","EW 300","Allgemeines. Gattungsübergreifendes",""
"3","EW 400","Lyrik",""
"2","EW 500-","Dramatik",""
"3","EW 500","Allgemeines",""
"3","EW 510","Tragödie",""
"3","EW 520","Komödie",""
"3","EW 590","Sonstiges",""
"3","EW 600","Epik. Roman",""
"3","EW 620","Roman",""
"3","EW 630","Kurzprosa",""
"3","EW 690","Sonstige Formen",""
"3","EW 800","Sonstige Gattungen und Formen",""
"3","EW 810","Autobiographie. Memoiren. Tagebuch",""
"3","EW 820","Briefe",""
"3","EW 830","Essayistik",""
"3","EW 840","Geschichtsschreibung",""
"3","EW 890","Sonstige Formen",""
"2","EW 900","Einzelne Autoren. Primär- und Sekundärliteratur",""
"3","EW 950-","Anthologien. Textsammlungen",""
"4","EW 950","Allgemeine Sammlungen",""
"4","EW 970","Thematische Sammlungen",""
"2","EW 980-","Sammlungen nach Gattungen und Formen",""
"3","EW 980","Lyrik",""
"3","EW 985","Dramatik",""
"3","EW 990","Epik",""
"3","EW 995","Sonstige",""
