notation,prefLabel,scopeNote,level
HDDA,Prehistoric archaeology,,4
HDDC,Middle & Near Eastern archaeology,,4
HDDG,Egyptian archaeology / Egyptology,See also: HRKP1 “Ancient Egyptian religion and mythology”,4
HDDH,Biblical archaeology,,4
HDDK,Classical Greek & Roman archaeology,,4
HDDM,Medieval European archaeology,,4
HDL,Landscape archaeology,,3
HDP,Environmental archaeology,,3
HDR,Underwater archaeology,,3
HDT,Industrial archaeology,,3
HDW,"Archaeological science, methodology & techniques",Note: includes dating and excavation techniques,3
HP,Philosophy,"For philosophy of economics, use KCS “Economic theory and philosophy”; for philosophy of education, use JNA “Philosophy and theory of education”; for philosophy of history, use HBA “History: theory and methods”; for philosophy of law, use LAB “Jurisprudence and philosophy of law”; for philosophy of language, use CFA “philosophy of language”; for philosophy of mathematics, use PBB “Philosophy of mathematics”; for philosophy of religion, see HRAB “Philosophy of religion” and following; for philosophy of science, use PDA “Philosophy of science”; for semiotics / semiology, use GTE “Semiotics / semiology”",2
HPC,History of Western philosophy,,3
HPCA,"Western philosophy: Ancient, to c 500","Class here: Ancient Greek, Roman, and Early Christian philosophy, Plato, Augustine, etc",4
HPCB,"Western philosophy: Medieval & Renaissance, c 500 to c 1600","Class here: Scholastic and Humanist philosophy, Aquinas, Erasmus, etc",4
HPCD,Western philosophy: c 1600 to c 1900,,4
HPCD1,Western philosophy: Enlightenment,"Class here: Empiricism, Rationalism, Descartes to Kant",5
HPCF,"Western philosophy, from c 1900 -",,4
HPCF3,Phenomenology & Existentialism,,5
HPCF5,Analytical philosophy & Logical Positivism,,5
HPCF7,"Deconstructionism, Structuralism, Post-structuralism",,5
HPD,Non-Western philosophy,,3
HPDC,Islamic & Arabic philosophy,See also: JFSR2 “Islamic studies”; HRH “Islam” and following,4
HPDF,Oriental & Indian philosophy,See also: HR* codes for Oriental and Indian religions,4
HPJ,Philosophy: metaphysics & ontology,,3
HPK,Philosophy: epistemology & theory of knowledge,,3
HPL,Philosophy: logic,,3
HPM,Philosophy of mind,,3
HPN,Philosophy: aesthetics,See also: ABA “Theory of art”,3
HPQ,Ethics & moral philosophy,See also: JFM “Ethical issues and debates” and following; KJG “Business ethics”; LATC “Legal ethics and professional conduct”; MBDC “Medical ethics and professional conduct”; PSAD “Bio-ethics”,3
HPS,Social & political philosophy,See also: JPA “Political science and theory”; JPF “Political ideologies”,3
HPX,Popular philosophy,Class here: accessible works for the general reader seeking to apply principles of philosophy to everyday life,3
HR,Religion & beliefs,,2
HRA,Religion: general,,3
HRAB,Philosophy of religion,,4
HRAB1,Nature & existence of God,,5
HRAC,Comparative religion,,4
HRAF,Interfaith relations,,4
HRAM,Religious issues & debates,"Note: use HRAM* codes with other code HRC*–HRK* indicating religion concerned, or with HRAC if comparative",4
HRAM1,Religious ethics,,5
HRAM2,Religion & politics,"Class here: church/state relations, with appropriate HRC code",5
HRAM3,Religion & science,,5
HRAM6,Religious fundamentalism,,5
HRAM7 ,"Blasphemy, heresy, apostasy",,6
HRAM9,"Religious intolerance, persecution & conflict","Class here: ‘holy war’, Jihad",5
HRAX,History of religion,,4
HRC,Christianity,,3
HRCA,The historical Jesus,,4
HRCC,Christian Churches & denominations,,4
HRCC1,The Early Church,,5
HRCC2,Church history,,5
HRCC7,"Roman Catholicism, Roman Catholic Church",,5
HRCC8,Orthodox & Oriental Churches,"Class here: Greek, Russian, Coptic, Syrian Churches, etc",5
HRCC9,Protestantism & Protestant Churches,,5
HRCC91,"Anglican & Episcopalian Churches, Church of England",,6
HRCC92,Baptist Churches,,6
HRCC93,"Calvinist, Reformed & Presbyterian Churches","Class here: United Reformed, Church of Scotland, Huguenots, etc",6
HRCC95,Methodist Churches,,6
HRCC96,Pentecostal Churches,,6
HRCC97,Quakers (Religious Society of Friends),,6
HRCC99,Other Nonconformist & Evangelical Churches,,6
HRCF,Bibles,,4
HRCF1,Old Testaments,,5
HRCF2,New Testaments,,5
HRCG ,Biblical studies & exegesis,,5
HRCG1 ,Biblical commentaries,,6
HRCG2,Biblical concordances,Note: concordances are lists of names and principal words with the Bible verses in which they occur,5
HRCG3 ,Biblical exegesis & hermeneutics,,6
HRCG7 ,Bible studies: for individual or small group study,,6
HRCG9,"Bible readings, selections & meditations",,5
HRCJ,Ecumenism,,4
HRCL,"Christian liturgy, prayerbooks & hymnals",,4
HRCL1,Christian prayerbooks,,5
HRCL2,Christian hymnals,,5
HRCM,Christian theology,,4
HRCP,Christian sermons,,4
HRCR,"Christian worship, rites & ceremonies","Class here: Christian festivals, pilgrimage, etc",4
HRCR1,Christian prayer,,5
HRCS,Christian spirituality & religious experience,,4
HRCS1,Christian mysticism,,5
HRCV,Christian life & practice,,4
HRCV1,Christian sacraments,,5
HRCV2,Christian instruction,,5
HRCV3,Christian counselling,,5
HRCV4,"Christian aspects of sexuality, gender & relationships",,5
HRCV9,Personal Christian testimony & popular inspirational works,,5
HRCX,Christian institutions & organizations,,4
HRCX1,Christian leaders & leadership,,5
HRCX4,Christian ministry & pastoral activity,,5
HRCX6,Christian social thought & activity,,5
HRCX7,Christian mission & evangelism,,5
HRCX8,Christian communities & monasticism,,5
HRCZ,Christian & quasi-Christian cults & sects,,4
HRE,Buddhism,,3
HREC,"Buddhist worship, rites & ceremonies",,4
HREP,Buddhist life & practice,,4
HRES,Buddhist sacred texts,,4
HREX,Tibetan Buddhism,,4
HREZ,Zen Buddhism,,4
HRG,Hinduism,,3
HRGC,"Hindu worship, rites & ceremonies",,4
HRGP,Hindu life & practice,,4
HRGS,Hindu sacred texts,,4
HRH,Islam,See also: JFSR2 “Islamic studies” for social and cultural aspects,3
HRHC,"Islamic worship, rites & ceremonies",,4
HRHP,Islamic life & practice,,4
HRHS,The Koran,,4
HRHT,Islamic theology,,4
HRHX,Sufism & Islamic mysticism,,4
HRJ,Judaism,See also: JFSR1 “Jewish studies” for social and cultural aspects,3
HRJC,"Judaism: worship, rites & ceremonies",,4
HRJP,Judaism: life & practice,,4
HRJS,Judaism: sacred texts,,4
HRJT,Judaism: theology,,4
HRJX,Judaism: mysticism,"Class here serious, religious and academic works on Kabbalah. See also VXWK “Kabbalah: popular works” for popular and MBS treatments",4
HRK,Other non-Christian religions,,3
HRKB,Baha'i,,4
HRKJ,Jainism,,4
HRKN,Oriental religions,,4
HRKN1,Confucianism,,5
HRKN3,Shintoism,,5
HRKN5,Taoism,,5
HRKP,Ancient religions & mythologies,"Class here: paganism, Inca and Aztec religion, etc. Use with Geographical qualifier where possible",4
HRKP1,Ancient Egyptian religion & mythology,See also: HDDG “Egyptian archaeology / Egyptology”,5
HRKP2,Celtic religion & mythology,,5
HRKP3,Ancient Greek religion & mythology,,5
HRKP4,Roman religion & mythology,,5
HRKP5,Norse religion & mythology,,5
HRKS,Sikhism,,4
HRKT,Tribal religions,,4
HRKZ,Zoroastrianism,,4
HRL,Aspects of religion (non-Christian),"Note: use HRL* codes after other code HRE*–HRK* indicating religion concerned, or HRAC if comparative. Prefer religion-specific codes above where available, eg for Islamic theology, use HRHT, not HRH with HRLB",3
HRLB,Theology,,4
HRLC,Sacred texts,,4
HRLC1,Criticism & exegesis of sacred texts,,5
HRLD,Prayers & liturgical material,,4
HRLF,"Worship, rites & ceremonies","Class here: religious festivals, pilgrimage, etc",4
HRLF9,Prayer,,5
HRLK,Spirituality & religious experience,,4
HRLK2,Mysticism,,5
HRLM,Religious life & practice,,4
HRLM3,Religious instruction,,5
HRLM5,Religious counselling,,5
HRLM7,"Religious aspects of sexuality, gender & relationships",,5
HRLP,Religious institutions & organizations,,4
HRLP1,Religious & spiritual leaders,,5
HRLP5,Religious social & pastoral thought & activity,,5
HRLP7,Religious communities & monasticism,,5
HRQ,Alternative belief systems,,3
HRQA,Humanist & secular alternatives to religion,,4
HRQA5,Agnosticism & atheism,,5
HRQC,Eclectic & esoteric religions & belief systems,,4
HRQC1,Gnosticism,,5
HRQC5,Theosophy & Anthroposophy,,5
HRQM,Contemporary non-Christian & para-Christian cults & sects,"Class here: Scientology, apocalyptic cults, etc",4
HRQM2,Spiritualism,,5
HRQX,Occult studies,"Class here serious, religious and academic works. See also: VXW* codes for popular, MBS treatments",4
HRQX2,"Magic, alchemy & hermetic thought",,5
HRQX5,Witchcraft,,5
HRQX9,Satanism & demonology,,5
J,Society & social sciences,,1
JF,Society & culture: general,"Use JF* codes for both general and academic works on social topics; use with JH* codes for sociology textbooks and other specialist works on sociology / anthropology. See also VFV* codes for popular accounts, personal issues and practical advice",2
JFC,Cultural studies,,3
JFCA,Popular culture,,4
JFCD,Material culture,Class here: role of artefacts and objects in society,4
JFCK,Fashion & society,,4
JFCV,Food & society,,4
JFCX,History of ideas,,4
JFD,Media studies,See also: GTC “Communication studies”,3
JFDT,TV & society,,4
JFDV,Advertising & society,,4
JFF,Social issues & processes,"For social effects of science and technology, see PDR “Impact of science and technology on society” and JFMG “Ethical issues: scientific and technological developments”; for social effects of environmental issues, use RNT “Social impact of environmental issues”",3
JFFA,Poverty  & unemployment,,4
JFFB,Housing & homelessness,,4
JFFC,Social impact of disasters,,4
JFFC1,Famine,,5
JFFD,Refugees & political asylum,,4
JFFE,Violence in society,See also: JNHB “Bullying and anti-bullying strategies”,4
JFFE1,Child abuse,,5
JFFE2,Sexual abuse & harassment,,5
JFFE3,Domestic violence,,5
JFFG,Disability: social aspects,,4
JFFH,Illness & addiction: social aspects,"Note: for medical works, see Section M “Medicine”",4
JFFH1,Drug & substance abuse: social aspects,,5
JFFH2,HIV / AIDS: social aspects,,5
JFFJ,Social discrimination & inequality,,4
JFFK,Feminism & feminist theory,,4
JFFL,Political correctness,,4
JFFM,Social mobility,,4
JFFN,"Migration, immigration & emigration",,4
JFFP,Social interaction,See also: GTC “Communication studies”,4
JFFR,"Social forecasting, future studies",,4
JFFS,Globalization,,4
JFFT,Consumerism,,4
JFFU,Public safety issues,See also: LNTJ “Public health and safety law”; KNXC “Occupational / industrial health and safety”,4
JFFX,Corruption in society,See also: JPZ “Political corruption”,4
JFFZ,Animals & society,"Class here: animal rights, vivisection, hunting, etc treated as issues",4
JFH,Popular beliefs & controversial knowledge,,3
JFHC,Conspiracy theories,,4
JFHF,"Folklore, myths & legends","Class here: Atlantis, Holy Grail etc. See also: FQ “Myth and legend told as fiction”",4
JFHX,Hoaxes & deceptions,,4
JFM,Ethical issues & debates,,3
JFMA,Ethical issues: abortion & birth control,,4
JFMC,Ethical issues: capital punishment,,4
JFMD,Ethical issues: censorship,See also: JPVH2 “Freedom of information and freedom of speech”; LNDF “Freedom of information law”,4
JFME,Ethical issues: euthanasia & right to die,,4
JFMG,Ethical issues: scientific & technological developments,"Eg Genetic engineering, GM foods, cloning, reproductive technology, stem cells, etc",4
JFMP,Ethical issues: pornography & obscenity,,4
JFMX,Ethical issues: prostitution & sex industry,,4
JFS,Social groups,,3
JFSC,Social classes,,4
JFSF,Rural communities,,4
JFSG,Urban communities,,4
JFSJ,"Gender studies, gender groups",,4
JFSJ1,Gender studies: women,,5
JFSJ2,Gender studies: men,,5
JFSJ5,Gender studies: transsexuals & hermaphroditism,,5
JFSK,Gay & Lesbian studies,,4
JFSK1,Lesbian studies,,5
JFSK2,Gay studies (Gay men),,5
JFSL,Ethnic studies,,4
JFSL1,Ethnic minorities & multicultural studies,Class here: Race relations,5
JFSL3,Black & Asian studies,,5
JFSL4,Hispanic & Latino studies,,5
JFSL9,Indigenous peoples,,5
JFSP,Age groups,,4
JFSP1,Age groups: children,,5
JFSP2,Age groups: adolescents,,5
JFSP3,Age groups: adults,,5
JFSP31,Age groups: the elderly,,6
JFSR,Religious groups: social & cultural aspects,Note: assign also the appropriate code from HR “Religion and beliefs”,4
JFSR1,Jewish studies,See also: HRJ “Judaism” and following,5
JFSR2,Islamic studies,See also: HRH “Islam” and following; LAFS “Islamic law”,5
JFSS,Alternative lifestyles,,4
JFSV,Social groups: clubs & societies,"Note: ie voluntary association or ‘elective affinities’, how and why people join and associate themselves with specific groups",4
JFSV1,Freemasonry & secret societies,,5
JH,Sociology & anthropology,Reserve JH* codes for textbooks or academic and specialist works; use with other J* codes indicating specific topics where appropriate,2
JHB,Sociology,,3
JHBA,Social theory,,4
JHBC,Social research & statistics,,4
JHBD,Population & demography,,4
JHBF,Sociology: birth,,4
JHBK,Sociology: family & relationships,Note: prefer VFV* codes for popular accounts and personal advice; see YX* codes for books addressing family issues for children and adolescents,4
JHBK5,Sociology: sexual relations,,5
JHBL,Sociology: work & labour,,4
JHBS,Sociology: sport & leisure,,4
JHBT,Sociology: customs & traditions,,4
JHBZ,Sociology: death & dying,See also: JFME “Ethical issues: euthanasia and right to die”,4
JHM,Anthropology,,3
JHMC,"Social & cultural anthropology, ethnography","Class here: kinship, ethnology. See also: JFC  “Cultural studies” for less specialist works",4
JHMP,Physical anthropology,"Class here: sensory studies, ‘body image’",4
JK,"Social services & welfare, criminology",,2
JKS,Social welfare & social services,,3
JKSB,Welfare & benefit systems,,4
JKSB1,Child welfare,,5
JKSF,Adoption & fostering,,4
JKSG,Care of the elderly,,4
JKSM,Care of the mentally ill,Class here: Care in the Community. See also: MBPK “Mental health services” for medical approaches,4
JKSN,Social work,,4
JKSN1,"Charities, voluntary services & philanthropy",,5
JKSN2,Counselling & advice services,,5
JKSR,Aid & relief programmes,,4
JKSW,Emergency services,,4
JKSW1,Police & security services,,5
JKSW2,Fire services,,5
JKSW3,Ambulance & rescue services,,5
JKV,Crime & criminology,See also: BTC “True crime” for popular accounts,3
JKVC,Causes & prevention of crime,,4
JKVF,Criminal investigation & detection,,4
JKVF1,Forensic science,"See also: MMQ Forensic medicine, JMK “Criminal or forensic psychology”",5
JKVG,Drugs trade / drug trafficking,,4
JKVJ,Street crime / gun crime,,4
JKVK,Corporate crime,,4
JKVM,Organized crime,,4
JKVP,Penology & punishment,See also: JFMC “Ethical issues: capital punishment”;  JWXR “Prisoners of war”,4
JKVP1,Prisons,,5
JKVQ,Offenders,,4
JKVQ1,Rehabilitation of offenders,,5
JKVQ2,Juvenile offenders,Class here: juvenile delinquency,5
JKVS,Probation services,,4
JM,Psychology,"For clinical psychology, use MMJ “Clinical psychology”; for educational psychology, use JNC “Educational psychology”; for psychotherapy, use MMJT “Psychotherapy”; for sports psychology, use WSDP “Sports psychology”",2
JMA,Psychological theory & schools of thought,See also: HPM “Philosophy of mind”,3
JMAF,Psychoanalytical theory (Freudian psychology),,4
JMAJ,Analytical & Jungian psychology,,4
JMAL,Behavioural theory (Behaviourism),,4
JMAN,Humanistic psychology,,4
JMAQ,"Cognitivism, cognitive theory",,4
JMB,Psychological methodology,,3
JMBT,Psychological testing & measurement,,4
JMC,Child & developmental psychology,,3
JMD,Psychology of ageing,,3
JMF,Family psychology,,3
JMG,Psychology of gender,,3
JMH,"Social, group or collective psychology",,3
JMJ,Occupational & industrial psychology,,3
JMK,Criminal or forensic psychology,,3
JML,Experimental psychology,,3
JMM,"Physiological & neuro-psychology, biopsychology",,3
JMP,Abnormal psychology,,3
JMQ,Psychology: emotions,,3
JMR,Cognition & cognitive psychology,,3
JMRL,Learning,,4
JMRM,Memory,,4
JMRN,Intelligence & reasoning,,4
JMRP,Perception,,4
JMS,"The self, ego, identity, personality",,3
JMT,States of consciousness,,3
JMTC,Conscious & unconscious,,4
JMTD,Sleep & dreams,,4
JMTH,Hypnosis,,4
JMTK,Drug-induced states,,4
JMU,Sexual behaviour,,3
JMX,Parapsychological studies,Note: use for serious academic works. Prefer VXP “Psychic powers and psychic phenomena” for popular and MBS treatments,3
JN,Education,,2
JNA,Philosophy & theory of education,,3
JNAM,Moral & social purpose of education,,4
JNB,History of education,"Class here: history of specific schools, colleges, etc",3
JNC,Educational psychology,,3
JNF,Educational strategies & policy,,3
JNFD,Literacy strategies,See also: VSL “Adult literacy guides and handbooks”,4
JNFG,Numeracy strategies,See also: VSN “Adult numeracy guides and handbooks”,4
JNFN,Inclusive education / mainstreaming,,4
JNFR,Multicultural education,,4
JNH,Education: care & counselling of students,,3
JNHB,Bullying & anti-bullying strategies,,4
JNHT,Truancy & anti-truancy strategies,,4
JNHX,Exclusions / dropping out of school,,4
JNK,Organization & management of education,,3
JNKA,Admissions procedures,,4
JNKC,Curriculum planning & development,,4
JNKD,Examinations & assessment,,4
JNKF,Schools inspection (& preparing for inspection),Class here: OFSTED,4
JNKG,Funding of education & student finance,,4
JNKH,Teaching staff,"Class here: personnel matters, etc",4
JNKH1,Teacher assessment,,5
JNKN,Non-teaching & support staff,,4
JNKP,School/community relations & school/home relations,Class here: parent participation,4
JNKR,School governors & school boards,,4
JNKS,Students & student organisations,,4
JNL,Schools,See also: VSK “Advice on education” for general guides for parents and students,3
JNLA,Pre-school & kindergarten,,4
JNLB,Primary & middle schools,"Class here: elementary, preparatory, infant and junior schools",4
JNLC,Secondary schools,,4
JNLP,"Independent schools, private education",Class here: ‘public schools’ in UK,4
JNLR,Faith (religious) schools,,4
JNM,"Higher & further education, tertiary education",See also: VSK “Advice on education” for general guides for parents and students,3
JNMF,Colleges of further education,"Class here: colleges offering vocational and technical courses, TAFE",4
JNMH,Colleges of higher education,Class here: colleges offering advanced and higher level non-degree academic courses,4
JNMN,Universities,,4
JNMT,Teacher training,,4
JNP,"Adult education, continuous learning",See also: VSL “Adult literacy guides and handbooks”; VSN “Adult numeracy guides and handbooks”,3
JNQ,"Open learning, home learning, distance education",,3
JNR,Careers guidance,,3
JNRV,Industrial or vocational training,"Note: use for works on industrial/vocational training as a subject; classify textbooks and manuals for study in the course of industrial/vocational training with the appropriate vocational heading, eg TTVC “Hotel and catering trades”",4
JNS,Teaching of specific groups & persons with special educational needs,,3
JNSC,Teaching of physically disabled students,,4
JNSC1,Teaching of hearing-impaired students,,5
JNSC2,Teaching of visually impaired students,,5
JNSG,Teaching of students with specific learning difficulties / needs,,4
JNSG1,Teaching of dyslexic students,,5
JNSG2,Teaching of autistic students,,5
JNSL,Teaching of students with emotional & behavioural difficulties,,4
JNSP,Teaching of gifted students,,4
JNSV,Teaching of students with English as a second language (TESOL),,4
JNT,Teaching skills & techniques,"Class here: classroom control, mentoring",3
JNU,Teaching of a specific subject,"Note: assign also the code for the subject taught, using YQ* Educational codes where appropriate",3
JNUM,Teachers' classroom resources & material,"Class here: photocopiable resources, teachers’ editions of textbooks, etc; assign also the code for the subject taught, using YQ* Educational codes where appropriate",4
JNV,"Educational equipment & technology, computer-aided learning (CAL)",,3
JNW,Extra-curricular activities,"Class here: sporting activities, festivals, concerts, plays, fetes, etc",3
JNWT,Educational visits & field trips,,4
JNZ,Study & learning skills: general,,3
JP,Politics & government,,2
JPA,Political science & theory,,3
JPB,Comparative politics,,3
JPF,Political ideologies,,3
JPFB,Anarchism,,4
JPFC,Marxism & Communism,,4
JPFF,Socialism & left-of-centre democratic ideologies,,4
JPFK,Liberalism & centre democratic ideologies,,4
JPFM,Conservatism & right-of-centre democratic ideologies,,4
JPFN,Nationalism,,4
JPFQ,Fascism & Nazism,,4
JPFR,Religious & theocratic ideologies,,4
JPH,Political structure & processes,,3
JPHC,Constitution: government & the state,,4
JPHF,Elections & referenda,Class here: sephology,4
JPHL,Political leaders & leadership,,4
JPHV,Political structures: democracy,,4
JPHX,Political structures: totalitarianism & dictatorship,,4
JPL,Political parties,,3
JPLM,Political manifestos,,4
JPP,Public administration,See also: KNV “Civil service and public sector”,3
JPQ,Central government,Class here: national and federal government,3
JPQB,Central government policies,See also: KCP “Political economy”,4
JPR,Regional government,"Class here: local, provincial and State government",3
JPRB,Regional government policies,,4
JPS,International relations,,3
JPSD,Diplomacy,,4
JPSF,Arms negotiation & control,"Class here: Arms Race, arms stockpiling",4
JPSH,Espionage & secret services,,4
JPSL,Geopolitics,,4
JPSN,International institutions,See also: GTN “Institutions and learned societies: general”,4
JPSN1,United Nations & UN agencies,,5
JPSN2,EU & European institutions,,5
JPV,Political control & freedoms,,3
JPVH,Human rights,See also: LNDC: “Human rights and civil liberties law” and following for legal works; HBTS “Slavery and abolition of slavery”,4
JPVH1,Civil rights & citizenship,Class here: suffrage,5
JPVH2,Freedom of information & freedom of speech,See also: JFMD “Ethical issues: censorship”; LNDF “Freedom of information law”,5
JPVH3,Land rights,See also: JFSL9: “Indigenous peoples”,5
JPVH4,Religious freedom / freedom of worship,See also: HRAM2 “Religion and politics”,5
JPVK,Public opinion & polls,,4
JPVL,Political campaigning & advertising,,4
JPVN,Propaganda,,4
JPVR,Political oppression & persecution,,4
JPW,Political activism,,3
JPWD,Pressure groups & lobbying,,4
JPWF,Demonstrations & protest movements,"Class here: civil disobedience, passive resistance",4
JPWH,Non-governmental organizations (NGOs),,4
JPWJ,Political subversion,,4
JPWL,"Terrorism, armed struggle",,4
JPWL1,Political assassinations,,5
JPWL2,Terrorist attack,,5
JPWQ,Revolutionary groups & movements,"See also: HBTV “Revolutions, uprisings, rebellions” for specific historical events",4
JPWS,Armed conflict,"Class here: armed skirmishes, flashpoints, outbreaks of organized violence short of full-scale war",4
JPZ,Political corruption,,3
JW,Warfare & defence,,2
JWA,Theory of warfare & military science,,3
JWD,Land forces & warfare,,3
JWDG,Irregular or guerrilla forces & warfare,,4
JWF,Naval forces & warfare,See also: HBTM “Maritime history”,3
JWG,Air forces & warfare,,3
JWH,Special & elite forces,,3
JWJ,Military administration,"Class here: personnel issues, discipline, procurement, etc",3
JWK,"Defence strategy, planning & research",,3
JWKF,Military intelligence,,4
JWKT,Military tactics,,4
JWKW,Civil defence,,4
JWL,War & defence operations,See also HBW “Military history” and following,3
JWLF,Battles & campaigns,,4
JWLP,Peacekeeping operations,See also: GTJ “Peace studies and conflict resolution”,4
JWM,Weapons & equipment,,3
JWMC,Chemical & biological weapons,,4
JWMN,Nuclear weapons,,4
JWMV,Military vehicles,,4
JWMV1,Tanks & military land vehicles,,5
JWMV2,Military & naval ships,,5
JWMV3,Military aircraft,,5
JWT,Military life & institutions,,3
JWTR,Regiments,,4
JWTU,Uniforms & insignia,"See also: WCK “Militaria, arms and armour”",4
JWTY,Memorials & rolls of honour,"Class here: war cemeteries. See also: AMGD “Memorials, monuments” for architectural aspects",4
JWX,Other warfare & defence issues,"For genocide and ethnic cleansing, see HBTZ “Genocide and ethnic cleansing” and following",3
JWXF,Arms trade,,4
JWXK,War crimes,,4
JWXN,Mercenaries,,4
JWXR,Prisoners of war,,4
JWXT,Mutiny,,4
JWXV,Military veterans,,4
JWXZ,Combat / defence skills & manuals,,4
K,"Economics, finance, business & management",,1
KC,Economics,,2
KCA,Economic theory & philosophy,,3
KCB,Macroeconomics,,3
KCBM,Monetary economics,,4
KCC,Microeconomics,,3
KCCD,Domestic trade,,4
KCD,Economics of industrial organisation,,3
KCF,Labour economics,,3
KCFM,Employment & unemployment,,4
KCG,Economic growth,,3
KCH,Econometrics,,3
KCHS,Economic statistics,,4
KCJ,Economic forecasting,,3
KCK,Behavioural economics,,3
KCL,International economics,See also: RGCM “Economic geography”,3
KCLF,International finance,,4
KCLT,International trade,,4
KCLT1,Trade agreements,See also: LBBM “International economic and trade law” and following,5
KCM,Development economics & emerging economies,See also: GTF “Development studies”,3
KCN,Environmental economics,,3
KCP,Political economy,,3
KCQ,Health economics,,3
KCR,Welfare economics,,3
KCS,Economic systems & structures,"Eg Free market, transitional economies, planned economies",3
KCT,Agricultural economics,,3
KCU,Urban economics,,3
KCX,Economic & financial crises & disasters,,3
KCY,Popular economics,Class here: accessible works on economics for the general reader,3
KCZ,Economic history,,3
KF,Finance & accounting,,2
KFC,Accounting,,3
KFCC,Cost accounting,,4
KFCF,Financial accounting,,4
KFCM,Management accounting & bookkeeping,Class here: audit,4
KFCP,Public finance accounting,,4
KFCR,"Financial reporting, financial statements",,4
KFCX,Accounting: study & revision guides,,4
KFF,Finance,See also: VSB “Personal finance”,3
KFFD,Public finance,,4
KFFD1,Taxation,,5
KFFH,Corporate finance,,4
KFFK,Banking,,4
KFFL,Credit & credit institutions,,4
KFFM,Investment & securities,,4
KFFM1,Commodities,,5
KFFM2,Stocks & shares,,5
KFFN,Insurance & actuarial studies,,4
KFFP,Pensions,See also: VSR “Retirement”,4
KFFR,Property & real estate,See also: VSH “Housing and property for the individual – buying/selling and legal aspects”,4
KFFX,Banking & finance: study & revision guides,,4
KJ,Business & management,"Reserve KJ* codes for use with academic or specialist works and works for professionals. See VS* codes for personal careers advice, secrets of success, etc",2
KJB,Business studies: general,,3
KJBX,Business & management: study & revision guides,,4
KJC,Business strategy,,3
KJD,Business innovation,,3
KJE,E-commerce: business aspects,,3
KJF,Business competition,,3
KJG,Business ethics & social responsibility,,3
KJH,Entrepreneurship,,3
KJJ,"Business & the environment, ‘Green’ approaches to business",,3
KJK,International business,,3
KJL,Consultancy & grants for businesses,,3
KJM,Management & management techniques,"Note: for public sector management, use appropriate KJM* code with KNV “Civil service and public sector”",3
KJMB,Management: leadership & motivation,,4
KJMD,Management decision making,See also: GPQ “Decision theory: general”,4
KJMP,Project management,,4
KJMQ,Quality Assurance (QA) & Total Quality Management (TQM),,4
KJMT,Time management,,4
KJMV,Management of specific areas,,4
KJMV1,Budgeting & financial management,,5
KJMV2,Personnel & human resources management,,5
KJMV3,Knowledge management,,5
KJMV4,"Management of real estate, property & plant",,5
KJMV5,Production & quality control management,,5
KJMV6,Research & development management,,5
KJMV7,Sales & marketing management,,5
KJMV8,Purchasing & supply management,,5
KJMV9,Distribution & warehousing management,,5
KJN,Business negotiation,,3
KJP,Business communication & presentation,,3
KJQ,Business mathematics & systems,,3
KJR,Corporate governance,,3
KJRD,Boards & directors: role & responsibilities,,4
KJRS,Company secretary: role & responsibilities,,4
KJS,Sales & marketing,"For sales and marketing management, use KJMV7 “Sales and marketing management”",3
KJSA,Advertising,"See also: KNTY ""Advertising industry""; JFDV “Advertising and society” for media studies aspects",4
KJSM,Market research,,4
KJSP,Public relations,,4
KJSU,Customer services,,4
KJT,Operational research,,3
KJU,Organizational theory & behaviour,,3
KJV,Ownership & organization of enterprises,,3
KJVB,"Takeovers, mergers & buy-outs",,4
KJVD,Privatization,,4
KJVF,Franchises,,4
KJVG,Multinationals,,4
KJVN,Public ownership / nationalization,,4
KJVP,Monopolies,,4
KJVS,Small businesses & self-employed,,4
KJVT,Outsourcing,,4
KJVV,Joint ventures,,4
KJVW,Employee-ownership & co-operatives,,4
KJVX,Non-profitmaking organizations,,4
KJW,Office & workplace,,3
KJWB,Office management,,4
KJWF,Office systems & equipment,,4
KJWS,"Secretarial, clerical & office skills","Class here: typing, shorthand etc. Use appropriate UFD* code for word processing software",4
KJWX,Working patterns & practices,"Class here: teleworking, call centres, etc",4
KJZ,History of specific companies / corporate history,,3
KN,Industry & industrial studies,,2
KNA,Primary industries,,3
KNAC,Agriculture & related industries,"Class here: agri-business, market gardening industry. See also KCT “Agricultural economics”",4
KNAF,Fisheries & related industries,Class here: whaling industry,4
KNAL,Forestry & related industries,,4
KNAT,Mining industry,,4
KNB,Energy industries & utilities,,3
KNBC,Coal & solid fuel industries,,4
KNBG,Gas industries,,4
KNBL,Electrical power industries,"For electrician skills, use THRS “Electrician skills”",4
KNBN,Nuclear power industries,,4
KNBP,Petroleum & oil industries,,4
KNBT,Alternative & renewable energy industries,,4
KNBW,Water industries,,4
KND,Manufacturing industries,,3
KNDC,Chemical industries,,4
KNDD,Textile industries,,4
KNDF,Food manufacturing & related industries,,4
KNDF1,Tobacco industry,,5
KNDH,Hi-tech manufacturing industries,,4
KNDH1,Biotechnology industries,,5
KNDM,Armaments industries,,4
KNDP,Pharmaceutical industries,,4
KNDR,Road vehicle manufacturing industry,"For motor mechanic skills, see TRCS “Automotive (motor mechanic) skills”",4
KNDS,Shipbuilding industry,,4
KNDV,Aviation manufacturing industry,,4
KNG,Transport industries,,3
